[2025-11-18 10:20:24] [INFO] Logging initialized
[2025-11-18 10:20:24] [INFO] Log file: /Users/robindb/Desktop/clear3_brown/logs/STEPSSMM_smm_analysis_20251118_102024.log
[2025-11-18 10:20:24] [INFO] Project Name: STEPSSMM
[2025-11-18 10:32:41] [INFO] Validating user parameters...
[2025-11-18 10:32:42] [INFO] Created project-specific directory: output/STEPSSMM
[2025-11-18 10:32:42] [SUCCESS] All parameters validated successfully!
[2025-11-18 10:35:04] [INFO] Setting up analysis combinations...
[2025-11-18 10:35:04] [INFO] Total analyses to run: 2
[2025-11-18 10:36:40] [INFO] Running analyses sequentially...
[2025-11-18 10:36:40] [INFO] Starting analysis for outcome: Oura_Activity_steps (menses-centered, unwinsorized, none rolling avg using 'cyclic_time_impute')
[2025-11-18 10:36:40] [INFO] Running SMM for Oura_Activity_steps (menses, unwinsorized, none)...
[2025-11-18 10:36:56] [INFO] Comparing BIC for Oura_Activity_steps (menses, unwinsorized, none)...
[2025-11-18 10:36:57] [INFO] Running GAMs for Oura_Activity_steps (menses, unwinsorized, none)...
[2025-11-18 10:37:50] [SUCCESS] Finished analysis for outcome: Oura_Activity_steps (menses-centered, unwinsorized, none)
[2025-11-18 10:37:50] [INFO] Starting analysis for outcome: Oura_Activity_steps (ovulation-centered, unwinsorized, none rolling avg using 'cyclic_time_imp_ov')
[2025-11-18 10:37:50] [INFO] Running SMM for Oura_Activity_steps (ovulation, unwinsorized, none)...
[2025-11-18 10:38:01] [INFO] Comparing BIC for Oura_Activity_steps (ovulation, unwinsorized, none)...
[2025-11-18 10:38:02] [INFO] Running GAMs for Oura_Activity_steps (ovulation, unwinsorized, none)...
[2025-11-18 10:38:20] [SUCCESS] Finished analysis for outcome: Oura_Activity_steps (ovulation-centered, unwinsorized, none)
[2025-11-18 10:38:20] [SUCCESS] ALL OUTCOMES PROCESSED!
