[2025-11-18 10:42:50] [INFO] Logging initialized
[2025-11-18 10:42:50] [INFO] Log file: /Users/robindb/Desktop/clear3_brown/logs/STEPSSMM_smm_analysis_20251118_104250.log
[2025-11-18 10:42:50] [INFO] Project Name: STEPSSMM
[2025-11-18 10:42:50] [INFO] Validating user parameters...
[2025-11-18 10:42:50] [SUCCESS] All parameters validated successfully!
[2025-11-18 10:42:51] [INFO] Setting up analysis combinations...
[2025-11-18 10:42:51] [INFO] Total analyses to run: 2
[2025-11-18 10:43:01] [INFO] Running analyses sequentially...
[2025-11-18 10:43:01] [INFO] Starting analysis for outcome: Oura_Activity_steps (menses-centered, unwinsorized, 5day rolling avg using 'cyclic_time_impute')
[2025-11-18 10:43:01] [INFO] Running SMM for Oura_Activity_steps (menses, unwinsorized, 5day)...
[2025-11-18 10:43:16] [INFO] Comparing BIC for Oura_Activity_steps (menses, unwinsorized, 5day)...
[2025-11-18 10:43:17] [INFO] Running GAMs for Oura_Activity_steps (menses, unwinsorized, 5day)...
[2025-11-18 10:43:46] [SUCCESS] Finished analysis for outcome: Oura_Activity_steps (menses-centered, unwinsorized, 5day)
[2025-11-18 10:43:46] [INFO] Starting analysis for outcome: Oura_Activity_steps (ovulation-centered, unwinsorized, 5day rolling avg using 'cyclic_time_imp_ov')
[2025-11-18 10:43:46] [INFO] Running SMM for Oura_Activity_steps (ovulation, unwinsorized, 5day)...
[2025-11-18 10:43:58] [INFO] Comparing BIC for Oura_Activity_steps (ovulation, unwinsorized, 5day)...
[2025-11-18 10:43:58] [INFO] Running GAMs for Oura_Activity_steps (ovulation, unwinsorized, 5day)...
[2025-11-18 10:44:16] [SUCCESS] Finished analysis for outcome: Oura_Activity_steps (ovulation-centered, unwinsorized, 5day)
[2025-11-18 10:44:16] [SUCCESS] ALL OUTCOMES PROCESSED!
