[2025-11-18 10:46:40] [INFO] Logging initialized
[2025-11-18 10:46:40] [INFO] Log file: /Users/robindb/Desktop/clear3_brown/logs/STEPSSMM_smm_analysis_20251118_104640.log
[2025-11-18 10:46:40] [INFO] Project Name: STEPSSMM
[2025-11-18 10:46:40] [INFO] Validating user parameters...
[2025-11-18 10:46:40] [SUCCESS] All parameters validated successfully!
[2025-11-18 10:46:40] [INFO] Setting up analysis combinations...
[2025-11-18 10:46:40] [INFO] Total analyses to run: 2
[2025-11-18 10:46:50] [INFO] Running analyses sequentially...
[2025-11-18 10:46:50] [INFO] Starting analysis for outcome: Oura_Activity_steps (menses-centered, winsorized, 5day rolling avg using 'cyclic_time_impute')
[2025-11-18 10:46:50] [INFO] Running SMM for Oura_Activity_steps (menses, winsorized, 5day)...
[2025-11-18 10:47:13] [INFO] Comparing BIC for Oura_Activity_steps (menses, winsorized, 5day)...
[2025-11-18 10:47:14] [INFO] Running GAMs for Oura_Activity_steps (menses, winsorized, 5day)...
[2025-11-18 10:48:14] [SUCCESS] Finished analysis for outcome: Oura_Activity_steps (menses-centered, winsorized, 5day)
[2025-11-18 10:48:14] [INFO] Starting analysis for outcome: Oura_Activity_steps (ovulation-centered, winsorized, 5day rolling avg using 'cyclic_time_imp_ov')
[2025-11-18 10:48:14] [INFO] Running SMM for Oura_Activity_steps (ovulation, winsorized, 5day)...
[2025-11-18 10:48:30] [INFO] Comparing BIC for Oura_Activity_steps (ovulation, winsorized, 5day)...
[2025-11-18 10:48:31] [INFO] Running GAMs for Oura_Activity_steps (ovulation, winsorized, 5day)...
[2025-11-18 10:48:57] [SUCCESS] Finished analysis for outcome: Oura_Activity_steps (ovulation-centered, winsorized, 5day)
[2025-11-18 10:48:57] [SUCCESS] ALL OUTCOMES PROCESSED!
